カミュ,不条理と直面した人間の思考・行動を描いた、ノーベル文学賞作家。異邦人は３回、ペストとシーシュポスの神話は２回購入して、現在読書中。
万城目学,個人的に天才エンターテインメント作家と思っている作家。鹿男あをによし、は傑作中の傑作で救国という側面も埋め込まれた作品。
佐藤優,恐るべき執筆ペースで著書を上梓し、実用的で何度も読み返したくなる内容の良書を連発している作家。
